13.33	20.56	28.89	30.00	36.11	37.22	41.67	39.44	41.11	35.56	26.67	22.22
15.00	16.11	30.00	30.56	32.78	38.33	40.00	40.56	41.67	36.11	26.11	20.00
18.89	14.44	30.56	29.44	32.78	38.89	41.67	37.78	41.67	36.67	20.00	16.11
18.33	18.33	22.78	31.11	32.78	37.78	40.56	33.89	42.22	33.33	17.78	18.33
18.89	18.89	21.11	32.78	35.00	38.33	40.00	38.89	42.78	33.89	20.56	20.56
18.33	22.22	17.22	34.44	36.11	40.00	41.11	41.11	42.78	34.44	26.11	18.89
21.11	22.22	20.00	33.89	38.33	41.11	41.11	39.44	40.56	32.78	25.56	17.78
19.44	23.33	18.33	34.44	35.56	42.22	44.44	40.00	40.00	31.11	27.22	18.89
22.78	25.56	21.67	35.56	31.11	42.22	43.89	36.67	38.33	32.22	22.22	17.78
22.22	27.22	21.67	32.22	32.22	44.44	43.89	39.44	33.89	32.22	20.00	18.89
22.22	26.67	20.56	30.56	31.11	45.56	46.11	40.56	38.89	33.89	20.00	20.56
20.56	26.67	25.00	23.33	30.00	44.44	43.33	38.89	35.56	34.44	22.22	15.00
21.67	27.22	26.11	23.33	35.56	41.67	45.00	40.00	35.00	35.56	20.00	12.22
21.11	27.22	27.22	27.78	38.89	40.00	43.33	37.22	35.56	35.56	19.44	12.22
21.11	26.11	29.44	30.56	40.00	41.11	43.89	38.33	36.11	27.78	21.11	13.33
22.78	16.67	28.89	32.22	39.44	43.89	45.00	40.00	36.11	25.00	21.11	14.44
21.67	18.89	26.67	32.78	37.78	43.33	43.89	40.56	37.22	28.33	21.11	16.11
20.56	21.67	28.33	35.00	38.33	36.11	41.67	40.00	38.33	30.00	21.11	15.56
21.11	25.56	27.78	37.22	37.22	38.33	43.33	36.67	38.89	31.11	22.78	17.22
21.67	25.56	22.78	32.22	37.22	39.44	43.33	35.56	36.11	32.22	22.22	17.22
20.56	22.22	24.44	32.78	33.33	41.11	42.78	36.11	30.56	31.67	22.78	18.33
20.56	18.33	27.22	26.11	35.56	41.11	44.44	37.22	33.33	31.11	23.89	17.78
21.11	12.78	26.67	27.78	35.00	41.11	41.11	39.44	37.22	25.00	22.22	19.44
20.00	13.33	29.44	29.44	36.67	41.11	37.22	38.33	38.33	21.67	21.11	21.11
20.56	17.78	33.89	32.78	39.44	41.11	37.22	38.89	39.44	24.44	21.67	22.78
20.00	20.00	33.33	36.11	40.00	40.56	36.11	40.56	40.00	26.11	20.00	22.78
20.00	22.78	34.44	33.89	39.44	38.33	35.56	39.44	38.89	26.67	20.56	21.67
21.11	27.22	27.22	33.33	38.33	41.11	32.78	38.89	38.33	27.22	21.67	16.67
23.33		21.11	31.67	34.44	41.67	36.67	41.67	37.78	27.78	19.44	16.67
23.33		26.11	34.44	34.44	40.00	40.00	43.33	36.11	25.56	22.22	15.00
20.56		27.78		36.11		38.89	42.22		28.33		19.44
