15.56	13.89	16.67	5.00	23.89	31.11	34.44	29.44	30.56	21.11	20.00	2.22
3.33	8.89	16.11	10.00	22.22	24.44	30.00	30.00	30.00	19.44	17.22	13.33
-1.11	0.56	7.78	11.67	25.00	27.22	30.56	33.89	24.44	20.56	21.67	12.78
5.56	-6.67	9.44	15.56	14.44	26.67	32.22	27.78	27.22	22.22	23.33	4.44
5.00	-5.56	24.44	13.89	15.56	27.78	32.78	30.00	27.78	25.56	23.89	8.89
-6.67	2.22	22.78	13.89	17.78	26.67	26.67	30.00	25.00	25.00	20.56	11.11
-6.11	0.00	13.89	10.56	16.11	25.00	29.44	32.22	26.67	15.00	18.33	10.00
3.33	3.89	4.44	8.89	19.44	26.67	23.89	32.78	26.11	13.89	15.00	7.22
6.11	8.33	8.33	5.00	24.44	23.33	28.33	26.67	28.33	17.78	22.22	9.44
-2.22	2.78	9.44	16.11	28.89	23.89	29.44	26.67	27.78	22.78	21.67	6.11
-1.11	9.44	5.56	18.89	29.44	24.44	30.56	27.22	26.11	23.33	15.56	6.11
7.22	3.33	-3.33	20.00	28.89	27.78	30.56	25.00	22.22	23.33	5.00	5.00
6.67	-5.00	4.44	20.00	28.33	32.22	30.00	26.67	22.78	17.22	1.67	4.44
1.67	-3.89	17.78	16.11	28.89	35.00	28.33	24.44	26.67	17.22	5.00	7.22
-1.67	4.44	19.44	21.11	30.00	33.89	28.89	27.78	28.33	15.56	3.89	11.67
1.11	15.56	20.56	15.00	24.44	33.33	30.56	26.67	27.78	21.67	3.33	3.89
-2.22	15.00	22.78	10.00	24.44	31.11	26.11	27.78	28.33	9.44	0.00	0.56
2.22	-1.11	20.56	5.00	21.67	25.56	28.89	28.33	28.89	7.22	-0.56	-0.56
9.44	0.00	13.33	9.44	25.56	26.11	31.11	30.56	28.33	11.11	0.56	-1.11
-3.33	12.78	15.00	16.67	30.56	27.78	33.33	30.56	30.00	12.78	-0.56	5.00
-5.00	16.11	21.11	20.00	29.44	35.00	31.11	28.33	33.89	21.67	10.00	4.44
-1.11	16.11	13.89	23.33	19.44	35.00	31.67	26.11	22.78	24.44	12.78	7.22
1.11	2.22	19.44	28.89	18.89	29.44	30.00	26.67	19.44	24.44	13.89	-13.33
2.22	0.56	12.78	27.78	23.33	30.56	30.00	28.89	22.78	23.89	17.22	-10.56
-3.33	1.11	6.67	22.22	27.78	30.56	27.78	28.89	20.56	24.44	11.11	-10.00
-6.11	-1.11	2.22	10.00	23.33	30.56	22.78	28.33	20.00	16.11	13.33	-5.00
0.56	7.78	1.67	13.89	19.44	26.11	27.78	28.89	16.67	13.33	12.78	0.00
-1.11	8.89	3.33	13.33	21.67	26.11	30.00	32.22	15.00	17.78	6.67	7.78
-5.00		6.11	18.33	27.22	30.00	27.22	32.78	19.44	20.00	15.56	15.00
1.11		26.11	18.89	30.56	32.78	27.22	27.22	21.67	20.00	13.89	16.67
3.33		16.11				26.11	27.22		18.33		12.22
